Operator	Schlagwort	Kompetenz	Ç?hnliche Kompetenz	Unterkompetenz	Referenzrahmen	Evidenzen	Kompetenzbereiche (KMK)	Metaoperator
strukturieren	Dokumentation	<p>Die LehramtsanwÇÏrter strukturieren ihren Unterricht, indem sie eine Verlaufstabelle anlegen</p>	nein	Wie ein(e) professionelle(r) Lehrer(in) agieren		"<p><span style=""line-height:1231;"">Die Verlaufstabelle</span></p> <ul><li><span style=""line-height:1231;"">zeigt didaktische Reduktion</span></li> <li>enthÇÏlt logische Planungsabsichten</li> </ul>"		
vorbereiten, planen, strukturieren	Planung, Organisation, Management	<p>Die LehramtsanwÇÏrter planen ihren Unterricht</p>	ja	Wie ein(e) professionelle(r) Lehrer(in) agieren		<p>Sie hÇÏngen Unterrichtsmaterialien an ihr Portfolio an</p>		
planen	Unterrichten	<p>Lehrerinnen und Lehrer planen Unterricht fach- und sachgerecht</p>	ja	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Didaktik und Methodik	
durchfÇ¬hren		<p>Lehrerinnen und Lehrer fÇ¬hren Unterricht sachlich und<br />fachlich korrekt durch</p>		Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Didaktik und Methodik	
verknÇ¬pfen		<p>LehramtsanwÇÏrter verknÇ¬pfen fachwissenschaftliche und<br />fachdidaktische Argumente</p>		Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Didaktik und Methodik	
auswÇÏhlen		<p>Die LehramtsanwÇÏrter wÇÏhlen Inhalte und Methoden, Arbeits-¶ÿund Kommunikationsformen aus</p>		Wie ein(e) professionelle(r) Lehrer(in) agieren			Didaktik und Methodik	
integrieren	Technologie, Medien	<p>Die LehramtsanwÇÏrter integrieren moderne Informations- und Kommunikationstechnologien didaktisch sinnvoll</p>		Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Didaktik und Methodik##Medienbildung	
reflektieren	Technologie, Medien	<p>Die LehramtsanwÇÏrter reflektieren den eigenen Medieneinsatz</p>		Wie ein(e) professionelle(r) Lehrer(in) agieren			Didaktik und Methodik##Medienbildung	
Ç¬berprÇ¬fen	QualitÇÏt	<p>Die LehramtsanwÇÏrter Ç¬berprÇ¬fen die QualitÇÏt des eigenen Lehrens</p>		Wie ein(e) professionelle(r) Lehrer(in) agieren			Beruf und Rolle des Lehrers	
kennen	Bildungstheorien	<p>Die LehramtsanwÇÏrter kennen die einschlÇÏgigen Bildungstheorien</p>	weiÇ? ich nicht	Wie ein(e) professionelle(r) Lehrer(in) agieren			Didaktik und Methodik	
verstehen		<p>Die LehramtsanwÇÏrter verstehen bildungs- und erziehungstheoretische Ziele sowie die daraus abzuleitenden Standards</p>		Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften			
reflektieren		<p>Die LehramtsanwÇÏrter¶ÿreflektieren bildungs- und erziehungstheoretische Ziele sowie die daraus abzuleitenden Standards kritisch</p>		Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften			
kennen		<p>Die LehramtsanwÇÏrter¶ÿkennen unterschiedliche Unterrichtsmethoden und Aufgabenformen</p>		Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Didaktik und Methodik	
einsetzen		"<p>Die LehramtsanwÇÏrter setzen<span style=""line-height:1231;"">¶ÿunterschiedliche Unterrichtsmethoden und Aufgabenformen¶ÿ</span><span style=""line-height:1231;"">anforderungs- und situationsgerecht ein</span></p>"		Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Didaktik und Methodik	
kennen		"<p>Die LehramtsanwÇÏrter¶ÿkennen Konzepte der MedienpÇÏdagogik¶ÿ</span><span style=""line-height:1231;"">und -psychologie und MÇôglichkeiten und¶ÿ</span><span style=""line-height:1231;"">Grenzen eines anforderungs- und situationsgerechten Einsatzes von Medien im¶ÿ</span><span style=""line-height:1231;"">Unterricht</span></p>"		Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften			
kennen	QualitÇÏt	<p>Die LehramtsanwÇÏrter kennen Verfahren fÇ¬r die Beurteilung von<br />Lehrleistung und UnterrichtsqualitÇÏt</p>		Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Didaktik und Methodik	
unterstÇ¬tzen	Lernsituation	<p>Die LehramtsanwÇÏrter ¶ÿunterstÇ¬tzen durch die Gestaltung von Lernsituationen das Lernen von¶ÿSchÇ¬lerinnen und SchÇ¬lern</p>		Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Didaktik und Methodik	
motivieren		<p>Die LehramtsanwÇÏrter motivieren SchÇ¬lerinnen und SchÇ¬ler ZusammenhÇÏnge herzustellen und Gelerntes zu nutzen</p>		Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Didaktik und Methodik	
befÇÏhigen		<p>Die LehramtsanwÇÏrter befÇÏhigen SchÇ¬lerinnen und SchÇ¬ler ZusammenhÇÏnge herzustellen und Gelerntes zu nutzen</p>		Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Didaktik und Methodik	
kennen		<p>Die LehramtsanwÇÏrter¶ÿkennen Lerntheorien und Formen des Lernens</p>		Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Didaktik und Methodik	
einbeziehen		<p>Die LehramtsanwÇÏrter beziehen Lernende aktiv in den¶ÿUnterricht ein</p>		Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Didaktik und Methodik##Leistungs- und Lernmotivation	
unterstÇ¬tzen		"<p>Die LehramtsanwÇÏrter unterstÇ¬tzen¶ÿ<span style=""line-height:1231;"">Verstehen und¶ÿ</span><span style=""line-height:1231;"">Transfer </span></p>"		Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Didaktik und Methodik##Leistungs- und Lernmotivation	
fÇôrdern		<p>Die LehramtsanwÇÏrter fÇôrdern die FÇÏhigkeiten von SchÇ¬lerinnen und SchÇ¬lern zum selbstbestimmten Lernen und Arbeiten</p>		Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Didaktik und Methodik##Lernen, Entwicklung und Sozialisation##Leistungs- und Lernmotivation	
vermitteln		<p>Die LehramtsanwÇÏrter vermitteln ¶ÿLern- und Arbeitsstrategien</p>		Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Didaktik und Methodik##Lernen, Entwicklung und Sozialisation	
vermitteln		"<p>Die LehramtsanwÇÏrter¶ÿ<span style=""line-height:1231;"">vermitteln den SchÇ¬lerinnen und SchÇ¬lern¶ÿ</span><span style=""line-height:1231;"">Methoden des selbstbestimmten, eigenverantwortlichen und kooperativen Lernens¶ÿ</span><span style=""line-height:1231;"">und Arbeitens</span></p>"		Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Didaktik und Methodik##Lernen, Entwicklung und Sozialisation	
kennen		<p>Die LehramtsanwÇÏrter ¶ÿkennen die sozialen und kulturellen Lebensbedingungen von SchÇ¬lerinnen und SchÇ¬lern</p>		Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Lernen, Entwicklung und Sozialisation##Differenzierung, Integration und FÇôrderung##Bildungsforschung	
kennen	PrÇÏventivmaÇ?nahmen, Benachteiligungen	<p>Die LehramtsanwÇÏrter kennen etwaige Benachteiligungen von<br />SchÇ¬lerinnen und SchÇ¬lern beim Lernprozess und MÇôglichkeiten der pÇÏdagogischen¶ÿHilfen und PrÇÏventivmaÇ?nahmen</p>		Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Lernen, Entwicklung und Sozialisation##Differenzierung, Integration und FÇôrderung##Diagnostik, Beurteilung und Beratung##Bildungsforschung	
kennen	Erziehungsprozesse, InterkulturalitÇÏt	"<p>Die LehramtsanwÇÏrter¶ÿ<span style=""line-height:1231;"">kennen interkulturelle Dimensionen bei¶ÿ</span><span style=""line-height:1231;"">der Gestaltung von Bildungs- und Erziehungsprozessen</span></p>"		Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Differenzierung, Integration und FÇôrderung##Diagnostik, Beurteilung und Beratung##Bildungsforschung	
kennen	Gender, Erziehungsprozesse	<p>Die LehramtsanwÇÏrter kennen die Bedeutung geschlechtsspezifischer EinflÇ¬sse auf Bildungs- und Erziehungsprozesse</p>		Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Lernen, Entwicklung und Sozialisation##Differenzierung, Integration und FÇôrderung##Diagnostik, Beurteilung und Beratung##Bildungsforschung	
beachten		<p>Die LehramtsanwÇÏrter beachten die kulturelle und soziale Vielfalt¶ÿin der jeweiligen Lerngruppe</p>	ja	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Lernen, Entwicklung und Sozialisation##Differenzierung, Integration und FÇôrderung##Diagnostik, Beurteilung und Beratung##Bildungsforschung	
unterstÇ¬tzen	Differenzierung, Individuelle Betreuung	<p>Die LehramtsanwÇÏrter¶ÿunterstÇ¬tzen individuell</p>	ja	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Didaktik und Methodik##Differenzierung, Integration und FÇôrderung##Diagnostik, Beurteilung und Beratung	
vermitteln		<p>Die LehramtsanwÇÏrter ¶ÿvermitteln Werte und Normen</p>		Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Bildung und Erziehung##Beruf und Rolle des Lehrers	
unterstÇ¬tzen		<p>Die LehramtsanwÇÏrter unterstÇ¬tzen selbstbestimmtes Urteilen und Handeln von SchÇ¬lerinnen und SchÇ¬lern</p>	weiÇ? ich nicht	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Beruf und Rolle des Lehrers##Didaktik und Methodik##Lernen, Entwicklung und Sozialisation	
reflektieren		<p>Die LehramtsanwÇÏrter reflektieren demokratische¶ÿWerte und Normen sowie ihre Vermittlung</p>		Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Bildung und Erziehung##Beruf und Rolle des Lehrers	
unterstÇ¬tzen		<p>unterstÇ¬tzen¶ÿSchÇ¬lerinnen und SchÇ¬ler im¶ÿUmgang mit persÇônlichen Krisen- und¶ÿEntscheidungssituationen</p>		Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Bildung und Erziehung##Beruf und Rolle des Lehrers##Lernen, Entwicklung und Sozialisation##Differenzierung, Integration und FÇôrderung##Bildungsforschung	
einÇ¬ben		"<p>Die LehramtsanwÇÏrter¶ÿ<span style=""line-height:1231;"">Ç¬ben mit den SchÇ¬lerinnen und SchÇ¬lern¶ÿ</span><span style=""line-height:1231;"">eigenverantwortliches Urteilen und Handeln schrittweise ein</span></p>"	ja	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Bildung und Erziehung##Beruf und Rolle des Lehrers##Lernen, Entwicklung und Sozialisation	
finden		<p>Die LehramtsanwÇÏrter finden LÇôsungsansÇÏtze fÇ¬r Schwierigkeiten und Konflikte in Schule¶ÿund Unterricht</p>	nein	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Beruf und Rolle des Lehrers##Didaktik und Methodik##Kommunikation##Schulentwicklung	
gestalten		"<p>Die LehramtsanwÇÏrter¶ÿ<span style=""line-height:1231;"">gestalten soziale Beziehungen und soziale¶ÿ</span><span style=""line-height:1231;"">Lernprozesse in Unterricht und Schule</span></p>"	nein	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Lernen, Entwicklung und Sozialisation##Schulentwicklung	
erarbeiten	Umgangsregeln	<p>Die LehramtsanwÇÏrter erarbeiten mit den SchÇ¬lerinnen und¶ÿSchÇ¬lern Regeln des Umgangs miteinander</p>	nein	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Bildung und Erziehung##Lernen, Entwicklung und Sozialisation##Schulentwicklung	
anwenden		"<p>Die LehramtsanwÇÏrter¶ÿ<span style=""line-height:1231;"">wenden im konkreten Fall Strategien und¶ÿ</span><span style=""line-height:1231;"">Handlungsformen der KonfliktprÇÏvention¶ÿ</span><span style=""line-height:1231;"">und -lÇôsung an</span></p>"	weiÇ? ich nicht	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Bildung und Erziehung##Beruf und Rolle des Lehrers	
kennen		"<p>Die LehramtsanwÇÏrter¶ÿ<span style=""line-height:1231;"">kennen Regeln der GesprÇÏchsfÇ¬hrung sowie GrundsÇÏtze des Umgangs miteinander,¶ÿ</span><span style=""line-height:1231;"">die in Unterricht, Schule und Elternarbeit¶ÿ</span><span style=""line-height:1231;"">bedeutsam sind</span></p>"	ja	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Kommunikation	
kennen		"<p>Die LehramtsanwÇÏrter¶ÿ<span style=""line-height:1231;"">kennen Risiken und GefÇÏhrdungen des¶ÿ</span><span style=""line-height:1231;"">Kindes- und Jugendalters sowie PrÇÏventions- und InterventionsmÇôglichkeiten</span></p>"	nein	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Bildung und Erziehung##Diagnostik, Beurteilung und Beratung##Bildungsforschung	
kennen		"<p>Die LehramtsanwÇÏrter¶ÿ<span style=""line-height:1231;"">kennen Methoden der konstruktiven Konfliktbearbeitung¶ÿ</span><span style=""line-height:1231;"">und des Umgangs mit Gewalt</span></p>"	nein	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften	<p>Beleg Ç¬ber Kurs zur KonfliktlÇôsung bzw Mediation</p>	Diagnostik, Beurteilung und Beratung##Kommunikation##Bildungsforschung	
diagnostizieren		<p>Die LehramtsanwÇÏrter ¶ÿdiagnostizieren Lernvoraussetzungen und Lernprozesse von SchÇ¬lerinnen und SchÇ¬lern</p>	nein	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Diagnostik, Beurteilung und Beratung	Beurteilen
fÇôrdern		<p>Die LehramtsanwÇÏrter¶ÿfÇôrdern SchÇ¬lerinnen und SchÇ¬ler gezielt</p>	weiÇ? ich nicht	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Differenzierung, Integration und FÇôrderung##Diagnostik, Beurteilung und Beratung##Bildungsforschung	Beurteilen
erkennen		<p>Die LehramtsanwÇÏrter erkennen¶ÿEntwicklungsstÇÏnde, Lernpotentiale, Lernhindernisse und Lernfortschritte</p>	ja	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Differenzierung, Integration und FÇôrderung##Diagnostik, Beurteilung und Beratung	Beurteilen
erkennen		<p>Die LehramtsanwÇÏrter erkennen Lernausgangslagen und setzen<br />spezielle FÇôrdermÇôglichkeiten ein</p>	ja	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Diagnostik, Beurteilung und Beratung	Beurteilen
erkennen	BegabungsfÇôrderung	<p>Die LehramtsanwÇÏrter¶ÿerkennen Begabungen und kennen MÇôglichkeiten der BegabungsfÇôrderung</p>	weiÇ? ich nicht	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Leistungs- und Lernmotivation##Differenzierung, Integration und FÇôrderung##Diagnostik, Beurteilung und Beratung	Beurteilen
abstimmen		<p>Die LehramtsanwÇÏrter stimmen LernmÇôglichkeiten und Lernanforderungen aufeinander ab</p>	nein	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Didaktik und Methodik##Diagnostik, Beurteilung und Beratung	Beurteilen
einsetzen		<p>Die LehramtsanwÇÏrter setzen unterschiedliche Beratungsformen¶ÿsituationsgerecht ein</p>	weiÇ? ich nicht	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Beruf und Rolle des Lehrers##Didaktik und Methodik##Differenzierung, Integration und FÇôrderung	Beurteilen
kooperieren	Kooperation	"<p>Die LehramtsanwÇÏrter¶ÿ<span style=""line-height:1231;"">kooperieren mit Kolleginnen und Kollegen¶ÿ</span><span style=""line-height:1231;"">bei der Erarbeitung von Beratung/Empfehlung</span></p>"	nein	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Kommunikation##Schulentwicklung	Beurteilen
kooperieren		<p>Die LehramtsanwÇÏrter kooperieren mit anderen Institutionen bei¶ÿder Entwicklung von Beratungsangeboten</p>	weiÇ? ich nicht	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Differenzierung, Integration und FÇôrderung##Diagnostik, Beurteilung und Beratung##Kommunikation##Schulentwicklung	Beurteilen
erfassen	Leistungsbewertung	<p>Die LehramtsanwÇÏrter¶ÿerfassen Leistungen von SchÇ¬lerinnen und SchÇ¬lern auf der Grundlage transparenter BeurteilungsmaÇ?stÇÏbe</p>	nein	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Didaktik und Methodik##Leistungs- und Lernmotivation##Diagnostik, Beurteilung und Beratung##Kommunikation	Beurteilen
konzipieren	Aufgabenstellung	<p>Die LehramtsanwÇÏrter¶ÿkonzipieren Aufgabenstellungen kriteriengerecht</p>	nein	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Didaktik und Methodik##Leistungs- und Lernmotivation##Differenzierung, Integration und FÇôrderung##Diagnostik, Beurteilung und Beratung	Beurteilen
anwenden		"<p>Die LehramtsanwÇÏrter¶ÿ<span style=""line-height:1231;"">wenden Bewertungsmodelle und BewertungsmaÇ?stÇÏbe fach- und situationsgerecht¶ÿ</span><span style=""line-height:1231;"">an</span></p>"	nein	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Didaktik und Methodik##Leistungs- und Lernmotivation##Differenzierung, Integration und FÇôrderung##Diagnostik, Beurteilung und Beratung	Beurteilen
verstÇÏndigen		<p>Die LehramtsanwÇÏrter verstÇÏndigen sich auf BeurteilungsgrundsÇÏtze mit Kolleginnen und Kollegen</p>	ja	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Didaktik und Methodik##Leistungs- und Lernmotivation##Differenzierung, Integration und FÇôrderung##Diagnostik, Beurteilung und Beratung##Kommunikation	Beurteilen
formulieren		<p>Die LehramtsanwÇÏrter¶ÿformulieren Aufgabenstellungen adressatengerecht</p>	ja	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Didaktik und Methodik##Differenzierung, Integration und FÇôrderung##Diagnostik, Beurteilung und Beratung##Kommunikation	Beurteilen
nutzen		"<p>Die LehramtsanwÇÏrter ¶ÿ<span style=""line-height:1231;"">nutzen LeistungsÇ¬berprÇ¬fungen als konstruktive RÇ¬ckmeldung Ç¬ber die eigene¶ÿ</span><span style=""line-height:1231;"">UnterrichtstÇÏtigkeit</span></p>"	nein	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Beruf und Rolle des Lehrers##Didaktik und Methodik##Kommunikation##Schulentwicklung	Beurteilen
verstehen 	Verantwortung	<p>Die LehramtsanwÇÏrter¶ÿverstehen ihren Beruf als ein Çôffentliches Amt mit besonderer Verantwortung und Verpflichtung</p>	nein	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Beruf und Rolle des Lehrers##Schulentwicklung	Innovieren
kennen		"<p>Die LehramtsanwÇÏrter¶ÿ<span style=""line-height:1231;"">kennen die Grundlagen und Strukturen des¶ÿ</span><span style=""line-height:1231;"">Bildungssystems und von Schule als Organisation</span></p>"	nein	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Schulentwicklung##Bildungsforschung	Innovieren
kennen		"<p>Die LehramtsanwÇÏrter ¶ÿ<span style=""line-height:1231;"">kennen die rechtlichen Rahmenbedingungen ihrer TÇÏtigkeit (z B Grundgesetz,¶ÿ</span><span style=""line-height:1231;"">Schulgesetze)</span></p>"	weiÇ? ich nicht	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Beruf und Rolle des Lehrers##Schulentwicklung##Bildungsforschung	Innovieren
reflektieren	Wertvorstellungen	<p>Die LehramtsanwÇÏrter¶ÿreflektieren ihre persÇônlichen berufsbezogenen Wertvorstellungen und Einstellungen</p>	ja	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Beruf und Rolle des Lehrers	Innovieren
kennen		<p>Die LehramtsanwÇÏrter¶ÿkennen wesentliche Ergebnisse der Belastungs- und Stressforschung</p>	nein	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Beruf und Rolle des Lehrers##Schulentwicklung##Bildungsforschung	Innovieren
einsetzen		"<p>Die LehramtsanwÇÏrter¶ÿ<span style=""line-height:1231;"">setzen Arbeitszeit und Arbeitsmittel¶ÿ</span><span style=""line-height:1231;"">zweckdienlich und Çôkonomisch ein</span></p>"	ja	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Beruf und Rolle des Lehrers	Innovieren
praktizieren	Kooperation	"<p>Die LehramtsanwÇÏrter¶ÿ<span style=""line-height:1231;"">praktizieren kollegiale Beratung als Hilfe¶ÿ</span><span style=""line-height:1231;"">zur Unterrichtsentwicklung und Arbeitsentlastung</span></p>"	ja	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Beruf und Rolle des Lehrers##Kommunikation	Innovieren
